Code,Min,Q1,Median,Q3,Max,TotJobs,TotCU,PercentCU
Overall,1,48.0,512.0,1408.0,35328,325216,768873.8,100.0
cp2k,1,1.0,1.0,64.0,4096,23677,237609.3,30.9
VASP,1,256.0,384.0,1408.0,32768,64231,121166.8,15.8
Unidentified,1,192.0,1024.0,3584.0,35328,40261,90011.7,11.7
LAMMPS,1,512.0,512.0,1280.0,6400,9192,50634.0,6.6
CASTEP,1,128.0,256.0,2560.0,10240,132161,36330.5,4.7
Gromacs,1,128.0,1536.0,1536.0,4096,27196,31878.8,4.1
PDNS3D,1,3200.0,3200.0,15360.0,15360,121,20867.7,2.7
Quantum Espresso,1,1024.0,1024.0,1408.0,2048,8347,18406.5,2.4
NAMD,1,640.0,3200.0,3200.0,16384,1481,18318.6,2.4
SENGA,432,576.0,729.0,1458.0,1458,78,16879.1,2.2
FHI aims,8,512.0,1280.0,2560.0,3840,4757,16766.1,2.2
Met Office UM,1,1152.0,1152.0,1152.0,6272,928,13473.1,1.8
OpenFOAM,2,512.0,512.0,640.0,1024,804,13215.2,1.7
CRYSTAL,1,512.0,512.0,1024.0,2560,442,9217.2,1.2
MITgcm,1,128.0,128.0,128.0,400,528,8843.1,1.2
Nektar++,128,512.0,768.0,1024.0,3840,348,8317.4,1.1
NEMO,1,456.0,456.0,1792.0,4864,5400,7533.5,1.0
HANDE,1,4.0,4.0,4.0,4,59,7245.4,0.9
CESM,48,48.0,48.0,48.0,288,232,7163.8,0.9
AxiSEM3D,15,1280.0,1536.0,1920.0,4480,106,5208.4,0.7
incompact3d,640,2048.0,2048.0,2048.0,4096,47,4744.1,0.6
GS2,64,1408.0,1408.0,1408.0,1408,143,4335.2,0.6
ONETEP,1,32.0,64.0,64.0,2048,317,3715.6,0.5
EPOCH,128,1920.0,2560.0,2560.0,2560,36,2826.2,0.4
Nek5000,72,72.0,288.0,576.0,864,46,2645.4,0.3
ABINIT,1,384.0,384.0,384.0,768,535,2386.9,0.3
Smilei,2,64.0,256.0,320.0,1024,116,2354.5,0.3
Code_Saturne,256,768.0,2048.0,3456.0,14080,43,1581.1,0.2
HemeLB,256,512.0,768.0,768.0,1536,17,1071.9,0.1
ChemShell,1,128.0,384.0,896.0,3072,177,887.8,0.1
USCNS3D,8,64.0,64.0,128.0,128,46,732.9,0.1
Python,1,1.0,1.0,256.0,4096,1745,704.5,0.1
RMT,4,384.0,384.0,384.0,2688,258,491.1,0.1
Amber,128,128.0,128.0,128.0,128,28,265.3,0.0
WRF,32,72.0,120.0,120.0,512,87,246.2,0.0
Fluidity,1000,1000.0,1000.0,1000.0,1000,19,227.1,0.0
OSIRIS,192,192.0,192.0,192.0,192,3,219.3,0.0
GPAW,128,128.0,128.0,256.0,384,299,116.3,0.0
PRECISE,1,1024.0,2048.0,2048.0,4096,227,93.3,0.0
HYDRA,1,18.0,256.0,512.0,1024,208,69.2,0.0
NWChem,128,1024.0,1024.0,1024.0,1024,27,34.8,0.0
TPLS,1,128.0,128.0,128.0,256,425,19.1,0.0
ECHAM,256,256.0,256.0,256.0,256,7,14.4,0.0
iIMB,256,256.0,256.0,256.0,256,4,2.9,0.0
FVCOM,1,256.0,256.0,256.0,256,7,2.4,0.0
